pop,W,w0,w1,n_units,is_stationary,cv,drift,pv,cv2,vr,nwin,flags
MO,300.0,0.0,300.0,13,True,0.0,0.0,1.0,,1.0,10,
MO,300.0,300.0,600.0,13,True,0.0,0.0,1.0,,1.0,10,
MO,300.0,600.0,900.0,13,True,0.0,0.0,1.0,,1.0,10,
MO,300.0,900.0,1200.0,13,True,0.0,0.0,1.0,,1.0,10,
MO,300.0,1200.0,1500.0,13,True,0.0,0.0,1.0,,1.0,10,
MO,300.0,1500.0,1800.0,13,False,1.4599526704754637,0.026581714581714582,0.004318211435339991,0.681275533496503,27.450415129151278,10,population_rate_cv=1.460 > 0.3;rate_drift p=0.00432 < 0.01 (slope=0.0266 Hz/s);rolling_var_ratio=27.45 > 3.0
MO,300.0,1800.0,2100.0,13,False,0.7908415753707583,-0.008778554778554779,0.43790525565849603,0.6704817989554286,44.42568187778655,10,population_rate_cv=0.791 > 0.3;rolling_var_ratio=44.43 > 3.0
MO,300.0,2100.0,2400.0,13,False,1.031237789157213,-0.01612898212898213,0.00017606890020590934,0.6933642984411712,12.19158523344191,10,population_rate_cv=1.031 > 0.3;rate_drift p=0.000176 < 0.01 (slope=-0.0161 Hz/s);rolling_var_ratio=12.19 > 3.0
MO,300.0,2400.0,2700.0,13,True,0.0,0.0,1.0,,1.0,10,
MO,300.0,2700.0,3000.0,13,True,0.0,0.0,1.0,,1.0,10,
MO,300.0,3000.0,3300.0,13,False,0.5702306850650306,-0.002306656306656307,0.18035934101483594,0.7243922451165741,54.37002603198216,10,population_rate_cv=0.570 > 0.3;rolling_var_ratio=54.37 > 3.0
MO,300.0,3300.0,3600.0,13,False,0.5197167425609236,-0.0048707588707588715,0.004758952398698047,0.9781641143363906,34.62491490810075,10,population_rate_cv=0.520 > 0.3;rate_drift p=0.00476 < 0.01 (slope=-0.00487 Hz/s);rolling_var_ratio=34.62 > 3.0
MO,300.0,3600.0,3900.0,13,False,0.9706482156023785,-0.0034975394975394983,0.6103786047869416,0.753171988339937,100.71834270819039,10,population_rate_cv=0.971 > 0.3;rolling_var_ratio=100.72 > 3.0
MO,300.0,3900.0,4200.0,13,True,0.0,0.0,1.0,,1.0,10,
MO,300.0,4200.0,4500.0,13,False,0.67485573496669,0.0052240352240352245,0.0014405383161552538,1.0223847107922728,4.6087521230892206,10,population_rate_cv=0.675 > 0.3;rate_drift p=0.00144 < 0.01 (slope=0.00522 Hz/s);rolling_var_ratio=4.61 > 3.0
MO,300.0,4500.0,4800.0,13,False,3.1622776601683795,-0.0011794871794871796,0.12150291881711305,1.1279210598663072,1.0,10,population_rate_cv=3.162 > 0.3
MO,300.0,4800.0,5100.0,13,False,0.9052424489244781,0.004027972027972029,0.0029301777755029687,1.0213302580073045,3.0213339678007776,10,population_rate_cv=0.905 > 0.3;rate_drift p=0.00293 < 0.01 (slope=0.00403 Hz/s);rolling_var_ratio=3.02 > 3.0
MO,600.0,0.0,600.0,13,True,0.0,0.0,1.0,,1.0,20,
MO,600.0,600.0,1200.0,13,True,0.0,0.0,1.0,,1.0,20,
